timestamp,temp,rain_1h,snow_1h,clouds_all,traffic_volume,holiday,weather_main,weather_description,predicted_vehicle_count
2012-10-02 09:00:00,288.28,0.0,0.0,40.0,765,None,Clouds,scattered clouds,16.982687
2012-10-02 09:15:00,288.28,0.0,0.0,40.0,730,None,Clouds,scattered clouds,16.982687
2012-10-02 09:30:00,288.28,0.0,0.0,40.0,694,None,Clouds,scattered clouds,16.982687
2012-10-02 09:45:00,288.28,0.0,0.0,40.0,659,None,Clouds,scattered clouds,16.982687
2012-10-02 10:00:00,289.36,0.0,0.0,75.0,623,None,Clouds,broken clouds,16.982687
2012-10-02 10:15:00,289.36,0.0,0.0,75.0,632,None,Clouds,broken clouds,16.982687
2012-10-02 10:30:00,289.36,0.0,0.0,75.0,641,None,Clouds,broken clouds,16.982687
2012-10-02 10:45:00,289.36,0.0,0.0,75.0,649,None,Clouds,broken clouds,16.982687
2012-10-02 11:00:00,289.58,0.0,0.0,90.0,658,None,Clouds,overcast clouds,16.982687
2012-10-02 11:15:00,289.58,0.0,0.0,90.0,667,None,Clouds,overcast clouds,16.982687
2012-10-02 11:30:00,289.58,0.0,0.0,90.0,676,None,Clouds,overcast clouds,16.982687
2012-10-02 11:45:00,289.58,0.0,0.0,90.0,685,None,Clouds,overcast clouds,16.982687
2012-10-02 12:00:00,290.13,0.0,0.0,90.0,694,None,Clouds,overcast clouds,16.982687
2012-10-02 12:15:00,290.13,0.0,0.0,90.0,690,None,Clouds,overcast clouds,16.982687
2012-10-02 12:30:00,290.13,0.0,0.0,90.0,686,None,Clouds,overcast clouds,16.982687
2012-10-02 12:45:00,290.13,0.0,0.0,90.0,683,None,Clouds,overcast clouds,16.982687
2012-10-02 13:00:00,291.14,0.0,0.0,75.0,679,None,Clouds,broken clouds,16.982687
2012-10-02 13:15:00,291.14,0.0,0.0,75.0,688,None,Clouds,broken clouds,16.982687
2012-10-02 13:30:00,291.14,0.0,0.0,75.0,697,None,Clouds,broken clouds,16.982687
2012-10-02 13:45:00,291.14,0.0,0.0,75.0,706,None,Clouds,broken clouds,16.982687
2012-10-02 14:00:00,291.72,0.0,0.0,1.0,715,None,Clear,sky is clear,16.982687
2012-10-02 14:15:00,291.72,0.0,0.0,1.0,729,None,Clear,sky is clear,16.982687
2012-10-02 14:30:00,291.72,0.0,0.0,1.0,743,None,Clear,sky is clear,16.982687
2012-10-02 14:45:00,291.72,0.0,0.0,1.0,757,None,Clear,sky is clear,16.982687
2012-10-02 15:00:00,293.17,0.0,0.0,1.0,771,None,Clear,sky is clear,16.982687
2012-10-02 15:15:00,293.17,0.0,0.0,1.0,786,None,Clear,sky is clear,16.982687
2012-10-02 15:30:00,293.17,0.0,0.0,1.0,801,None,Clear,sky is clear,16.982687
2012-10-02 15:45:00,293.17,0.0,0.0,1.0,815,None,Clear,sky is clear,16.982687
2012-10-02 16:00:00,293.86,0.0,0.0,1.0,830,None,Clear,sky is clear,16.982687
